,neg_img_name,bin_start,bin_ends
231,neg_img_23_1.png,1610602279402654.5,1610602279406699.5
232,neg_img_23_2.png,1610602279406699.5,1610602279410744.8
233,neg_img_23_3.png,1610602279410744.8,1610602279414790.0
234,neg_img_23_4.png,1610602279414790.0,1610602279418835.0
235,neg_img_23_5.png,1610602279418835.0,1610602279422880.2
236,neg_img_23_6.png,1610602279422880.2,1610602279426925.5
237,neg_img_23_7.png,1610602279426925.5,1610602279430970.8
238,neg_img_23_8.png,1610602279430970.8,1610602279435015.8
239,neg_img_23_9.png,1610602279435015.8,1610602279439061.0
240,neg_img_24_0.png,1610602279439061.0,1610602279443106.2
241,neg_img_24_1.png,1610602279443106.2,1610602279447151.2
242,neg_img_24_2.png,1610602279447151.2,1610602279451196.5
243,neg_img_24_3.png,1610602279451196.5,1610602279455241.8
244,neg_img_24_4.png,1610602279455241.8,1610602279459287.0
245,neg_img_24_5.png,1610602279459287.0,1610602279463332.0
246,neg_img_24_6.png,1610602279463332.0,1610602279467377.2
247,neg_img_24_7.png,1610602279467377.2,1610602279471422.5
248,neg_img_24_8.png,1610602279471422.5,1610602279475467.5
249,neg_img_24_9.png,1610602279475467.5,1610602279479512.8
250,neg_img_25_0.png,1610602279479512.8,1610602279483558.0
251,neg_img_25_1.png,1610602279483558.0,1610602279487603.0
252,neg_img_25_2.png,1610602279487603.0,1610602279491648.2
253,neg_img_25_3.png,1610602279491648.2,1610602279495693.5
254,neg_img_25_4.png,1610602279495693.5,1610602279499738.5
255,neg_img_25_5.png,1610602279499738.5,1610602279503783.8
256,neg_img_25_6.png,1610602279503783.8,1610602279507829.0
257,neg_img_25_7.png,1610602279507829.0,1610602279511874.2
258,neg_img_25_8.png,1610602279511874.2,1610602279515919.2
259,neg_img_25_9.png,1610602279515919.2,1610602279519964.5
260,neg_img_26_0.png,1610602279519964.5,1610602279524009.8
261,neg_img_26_1.png,1610602279524009.8,1610602279528054.8
262,neg_img_26_2.png,1610602279528054.8,1610602279532100.0
263,neg_img_26_3.png,1610602279532100.0,1610602279536145.2
264,neg_img_26_4.png,1610602279536145.2,1610602279540190.5
265,neg_img_26_5.png,1610602279540190.5,1610602279544235.5
266,neg_img_26_6.png,1610602279544235.5,1610602279548280.8
267,neg_img_26_7.png,1610602279548280.8,1610602279552326.0
268,neg_img_26_8.png,1610602279552326.0,1610602279556371.0
269,neg_img_26_9.png,1610602279556371.0,1610602279560416.2
270,neg_img_27_0.png,1610602279560416.2,1610602279564461.5
271,neg_img_27_1.png,1610602279564461.5,1610602279568506.5
272,neg_img_27_2.png,1610602279568506.5,1610602279572551.8
273,neg_img_27_3.png,1610602279572551.8,1610602279576597.0
274,neg_img_27_4.png,1610602279576597.0,1610602279580642.0
275,neg_img_27_5.png,1610602279580642.0,1610602279584687.2
276,neg_img_27_6.png,1610602279584687.2,1610602279588732.5
277,neg_img_27_7.png,1610602279588732.5,1610602279592777.8
278,neg_img_27_8.png,1610602279592777.8,1610602279596822.8
279,neg_img_27_9.png,1610602279596822.8,1610602279600868.0
280,neg_img_28_0.png,1610602279600868.0,1610602279604913.2
281,neg_img_28_1.png,1610602279604913.2,1610602279608958.2
282,neg_img_28_2.png,1610602279608958.2,1610602279613003.5
283,neg_img_28_3.png,1610602279613003.5,1610602279617048.8
284,neg_img_28_4.png,1610602279617048.8,1610602279621094.0
285,neg_img_28_5.png,1610602279621094.0,1610602279625139.0
286,neg_img_28_6.png,1610602279625139.0,1610602279629184.2
287,neg_img_28_7.png,1610602279629184.2,1610602279633229.5
288,neg_img_28_8.png,1610602279633229.5,1610602279637274.5
289,neg_img_28_9.png,1610602279637274.5,1610602279641319.8
290,neg_img_29_0.png,1610602279641319.8,1610602279645365.0
291,neg_img_29_1.png,1610602279645365.0,1610602279649410.0
292,neg_img_29_2.png,1610602279649410.0,1610602279653455.2
293,neg_img_29_3.png,1610602279653455.2,1610602279657500.5
294,neg_img_29_4.png,1610602279657500.5,1610602279661545.5
295,neg_img_29_5.png,1610602279661545.5,1610602279665590.8
296,neg_img_29_6.png,1610602279665590.8,1610602279669636.0
297,neg_img_29_7.png,1610602279669636.0,1610602279673681.2
298,neg_img_29_8.png,1610602279673681.2,1610602279677726.2
299,neg_img_29_9.png,1610602279677726.2,1610602279681771.5
300,neg_img_30_0.png,1610602279681771.5,1610602279685816.8
301,neg_img_30_1.png,1610602279685816.8,1610602279689861.8
302,neg_img_30_2.png,1610602279689861.8,1610602279693907.0
303,neg_img_30_3.png,1610602279693907.0,1610602279697952.2
304,neg_img_30_4.png,1610602279697952.2,1610602279701997.5
305,neg_img_30_5.png,1610602279701997.5,1610602279706042.5
306,neg_img_30_6.png,1610602279706042.5,1610602279710087.8
307,neg_img_30_7.png,1610602279710087.8,1610602279714133.0
308,neg_img_30_8.png,1610602279714133.0,1610602279718178.0
309,neg_img_30_9.png,1610602279718178.0,1610602279722223.2
310,neg_img_31_0.png,1610602279722223.2,1610602279726268.5
311,neg_img_31_1.png,1610602279726268.5,1610602279730313.5
312,neg_img_31_2.png,1610602279730313.5,1610602279734358.8
313,neg_img_31_3.png,1610602279734358.8,1610602279738404.0
314,neg_img_31_4.png,1610602279738404.0,1610602279742449.0
315,neg_img_31_5.png,1610602279742449.0,1610602279746494.2
316,neg_img_31_6.png,1610602279746494.2,1610602279750539.5
317,neg_img_31_7.png,1610602279750539.5,1610602279754584.8
318,neg_img_31_8.png,1610602279754584.8,1610602279758629.8
319,neg_img_31_9.png,1610602279758629.8,1610602279762675.0
320,neg_img_32_0.png,1610602279762675.0,1610602279766720.2
321,neg_img_32_1.png,1610602279766720.2,1610602279770765.2
322,neg_img_32_2.png,1610602279770765.2,1610602279774810.5
323,neg_img_32_3.png,1610602279774810.5,1610602279778855.8
324,neg_img_32_4.png,1610602279778855.8,1610602279782901.0
325,neg_img_32_5.png,1610602279782901.0,1610602279786946.0
326,neg_img_32_6.png,1610602279786946.0,1610602279790991.2
327,neg_img_32_7.png,1610602279790991.2,1610602279795036.5
328,neg_img_32_8.png,1610602279795036.5,1610602279799081.5
329,neg_img_32_9.png,1610602279799081.5,1610602279803126.8
330,neg_img_33_0.png,1610602279803126.8,1610602279807172.0
331,neg_img_33_1.png,1610602279807172.0,1610602279811217.0
332,neg_img_33_2.png,1610602279811217.0,1610602279815262.2
333,neg_img_33_3.png,1610602279815262.2,1610602279819307.5
334,neg_img_33_4.png,1610602279819307.5,1610602279823352.5
335,neg_img_33_5.png,1610602279823352.5,1610602279827397.8
336,neg_img_33_6.png,1610602279827397.8,1610602279831443.0
337,neg_img_33_7.png,1610602279831443.0,1610602279835488.2
338,neg_img_33_8.png,1610602279835488.2,1610602279839533.2
339,neg_img_33_9.png,1610602279839533.2,1610602279843578.5
340,neg_img_34_0.png,1610602279843578.5,1610602279847623.8
341,neg_img_34_1.png,1610602279847623.8,1610602279851668.8
342,neg_img_34_2.png,1610602279851668.8,1610602279855714.0
343,neg_img_34_3.png,1610602279855714.0,1610602279859759.2
344,neg_img_34_4.png,1610602279859759.2,1610602279863804.5
345,neg_img_34_5.png,1610602279863804.5,1610602279867849.5
346,neg_img_34_6.png,1610602279867849.5,1610602279871894.8
347,neg_img_34_7.png,1610602279871894.8,1610602279875940.0
348,neg_img_34_8.png,1610602279875940.0,1610602279879985.0
349,neg_img_34_9.png,1610602279879985.0,1610602279884030.2
350,neg_img_35_0.png,1610602279884030.2,1610602279888075.5
351,neg_img_35_1.png,1610602279888075.5,1610602279892120.5
352,neg_img_35_2.png,1610602279892120.5,1610602279896165.8
353,neg_img_35_3.png,1610602279896165.8,1610602279900211.0
354,neg_img_35_4.png,1610602279900211.0,1610602279904256.0
